"mp_id","Longitude","Latitude","Concentration.Class","speed_sum","speed_avg","ve_avg","vn_avg","buoy_count","measurement_count"
68,-80.4505,27.8606,"Medium",26.4040952380952,26.4040952380952,-9.48642857142857,13.8265714285714,1,1
272,-82.8415,27.8431,"Very Low",20.685,20.685,8.79311111111111,-18.5656666666667,1,1
290,-97.0425,27.8334,"Very Low",42.882625,42.882625,-29.1552916666667,-28.5255,1,1
602,-80.41,24.85,"Very Low",70.8523033707865,70.8523033707865,47.9124382022472,48.9212471910112,1,1
652,-80.32,24.62,"Very Low",127.338208333333,127.338208333333,87.78,89.5686111111111,1,1
664,-81.66,24.48,"Medium",44.676046875,44.676046875,19.78353125,10.303484375,1,1
665,-80.79,24.49,"Very Low",76.4912121212121,76.4912121212121,63.6969595959596,37.0778888888889,1,1
671,-81.25,24.29,"Low",71.293,71.293,56.8604402985075,29.8221343283582,1,1
685,-80.66,24.22,"Low",119.453426829268,119.453426829268,96.5488048780488,67.3795609756097,1,1
715,-80.57,24.1,"Very Low",95.6976818181818,95.6976818181818,71.6416363636364,60.8842272727273,1,1
719,-80.17,20.02,"Very Low",65.8633334703464,32.9316667351732,3.04436732237229,-1.71319242513212,1,2
721,-80.3,23.47,"Very Low",187.079778061997,31.1799630103327,-10.5391910314345,1.10092277617607,1,6
726,-80.69,23.74,"Very Low",51.8325161290323,51.8325161290323,35.9265161290323,14.5933225806452,1,1
730,-81.03,24.1,"Very Low",106.420045454545,106.420045454545,91.7233977272727,49.1977272727273,1,1
736,-81.47,23.85,"Very Low",93.2113114754098,93.2113114754098,84.7610327868853,32.2724426229508,1,1
744,-81.02,21.54,"Very Low",174.354264481893,21.7942830602366,-8.11629478364067,3.82345962343439,1,8
745,-81.3,19.98,"Very Low",68.4149595693254,34.2074797846627,-7.16885025269169,-5.22799252911448,1,2
746,-81.07,19.82,"Medium",36.7707304347826,36.7707304347826,7.16244347826087,-4.17415652173913,1,1
747,-81.3,23.48,"Very Low",44.6287820512821,22.314391025641,9.81083760683758,4.04215918803417,1,2
761,-81.64,23.98,"Very Low",94.591700729927,94.591700729927,79.3082554744526,32.3254671532847,1,1
767,-81.79,20.17,"Low",40.9316666666667,40.9316666666667,0.63481746031746,-20.2909126984127,1,1
768,-81.96,21.39,"Medium",75.8350167841015,18.9587541960254,-8.98595972717984,2.73941939221436,1,4
769,-81.78,23.57,"Very Low",148.426113636364,74.2130568181818,69.4467672924901,17.2142628458498,1,2
771,-81.74,20.58,"Very Low",94.9208746336606,31.6402915445535,-6.82482173376963,-3.2094916852405,1,3
772,-81.81,19.93,"Very Low",84.3862179108009,42.1931089554004,5.29495232461848,-8.71845841713003,1,2
773,-81.95,19.52,"Very Low",166.165584455285,33.2331168910571,-4.77701846406901,-5.41988140744774,1,5
809,-82.58,25.35,"Medium",13.6440181818182,13.6440181818182,-0.343981818181818,-11.7302545454545,1,1
824,-82.88,26.72,"Medium",43.9238871794871,14.6412957264957,1.28474778554778,-6.91596472416472,1,3
826,-83.27,27.12,"Very Low",105.052789777092,21.0105579554184,-1.14685549218049,-5.49734481304016,1,5
829,-83.27,27.12,"Very Low",160.544112043967,17.8382346715519,0.481574401037898,-5.65919125199646,1,9
832,-83.88,25.47,"Medium",104.571137051757,20.9142274103514,-0.754536944004035,-4.54245532738369,1,5
833,-82.92,25.13,"Low",12.7361901408451,12.7361901408451,-4.24701408450704,0.0416549295774648,1,1
835,-83.73,25.32,"Very Low",16.0283712871287,16.0283712871287,-0.555608910891089,-2.31227227722772,1,1
836,-83.88,25.11,"Low",20.2869494949495,20.2869494949495,-2.02895454545455,-1.86042929292929,1,1
837,-82.94,25.52,"Low",12.9212333333333,12.9212333333333,3.12791111111111,1.01443333333333,1,1
838,-82.8,25.57,"Medium",32.589860889031,16.2949304445155,-1.80645123121203,-2.96420850655581,1,2
839,-82.73,25.58,"Very Low",11.6763125,11.6763125,3.39155,-6.3408625,1,1
854,-82.11,24.27,"Low",40.9984812834225,40.9984812834225,22.3594010695187,7.4762513368984,1,1
859,-83.17,24.56,"Very Low",20.1232413793103,20.1232413793103,2.86697536945813,-6.3201921182266,1,1
861,-82.8718,24.6298,"Very Low",6.0681303030303,6.0681303030303,-0.8336,0.473106060606061,1,1
870,-82.67,24.52,"Very Low",8.07238248847926,8.07238248847926,-2.8368064516129,-0.498626728110599,1,1
884,-83.55,24.85,"Very Low",18.8657704918033,18.8657704918033,-1.80836612021858,-1.36995081967213,1,1
895,-83.8,24.68,"Very Low",47.8206818181818,47.8206818181818,23.3691666666667,-22.4291111111111,1,1
899,-83.54,24.37,"Very Low",45.5001724137931,45.5001724137931,22.2872955665025,-19.5240098522168,1,1
915,-81.97,23.83,"Very Low",107.12242,107.12242,99.78121,23.84997,1,1
937,-82.47,24.1,"Medium",63.515377245509,63.515377245509,53.7744610778443,5.13446107784431,1,1
938,-82.52,21.08,"Low",164.016714280302,27.3361190467171,-0.89114862707538,-1.66282937094208,1,6
939,-82.65,23.88,"Medium",101.689771428571,101.689771428571,95.4744571428571,17.4952571428571,1,1
947,-82.83,24.14,"Low",48.2832179487179,48.2832179487179,28.6377692307692,-8.0390641025641,1,1
954,-83.57,23.93,"Medium",65.842198630137,65.842198630137,53.9483356164384,-17.9852808219178,1,1
960,-83.18,24.1,"Very Low",75.5263716814159,75.5263716814159,51.3100884955752,-18.3116725663717,1,1
962,-83.48,20.95,"Low",39.826043956044,39.826043956044,-10.5353186813187,-0.474967032967033,1,1
963,-83.2,23.47,"Very Low",132.817445652174,66.4087228260869,54.7824792409124,-1.09975953314327,1,2
965,-83.48,20.95,"Medium",165.841976096499,41.4604940241246,-5.31142150648913,1.27107381475328,1,4
966,-83.7,23.6,"Medium",41.9546492537313,41.9546492537313,20.6098507462687,-2.07511194029851,1,1
968,-82.9,23.87,"Very Low",80.9884551724138,80.9884551724138,72.2324068965517,4.71751724137931,1,1
971,-84.47,24.32,"Very Low",141.158683269242,70.5793416346212,43.6329867850821,-25.4471593420009,1,2
978,-84.35,24.64,"Medium",113.749880542534,56.8749402712672,23.5680776531161,-28.0967107892108,1,2
979,-84.06,23.5,"Medium",123.963012648353,61.9815063241767,39.0666170947791,-26.8932221262607,1,2
980,-83.89,24.02,"Very Low",74.242776,74.242776,46.405472,-34.796496,1,1
983,-84.21,23.21,"Very Low",119.325797888536,39.7752659628453,6.85796412565024,-12.3057943216682,1,3
987,-84.68,21.69,"Very Low",25.6202231404959,25.6202231404959,-0.467851239669421,0.397611570247934,1,1
988,-85.26,22.21,"Very Low",567.04998185636,56.704998185636,-12.2328965359706,39.4078771453647,1,10
989,-84.85,22.93,"Low",312.81837957933,39.1022974474163,-11.33407292376,7.74395408319897,1,8
990,-85.03,24.41,"Medium",571.100793117598,51.9182539197816,1.19169832516145,-0.171426841257372,1,11
992,-84.57,25.3,"Very Low",420.09507340425,46.67723037825,6.20076230773243,-12.3394932659217,1,9
993,-85.12,24.94,"Very Low",2208.22625507887,61.3396181966353,6.6065299151623,-6.41968170108149,1,36
994,-84.56,25.26,"Medium",55.3770068965517,55.3770068965517,15.5471862068966,-20.8002,1,1
1002,-87.1027,21.6048,"Very Low",676.820016407931,67.6820016407931,-40.2902581172552,38.5710653635268,1,10
1016,-88.0501,21.611,"Medium",498.894180978161,29.3467165281271,-14.811538328757,4.73847846335179,1,17
1017,-87.9899,21.6102,"Very Low",153.063971629957,38.2659929074892,-28.2836013292873,5.68415131141791,1,4
1035,-86.7901,21.4833,"Very Low",101.342423728814,101.342423728814,-0.581101694915254,99.8806440677966,1,1
1036,-86.7412,21.1371,"Low",89.8020810810811,89.8020810810811,26.5183918918919,83.2600945945946,1,1
1038,-84.68,21.21,"Medium",225.383680774044,45.0767361548089,1.41609439007844,5.49658591446646,1,5
1041,-86.7325,21.2212,"Medium",127.508054054054,127.508054054054,21.322027027027,123.720648648649,1,1
